firma,ort,erste_bewerbung,letzte_bewerbung,anzahl_bewerbungen,beworbene_stellen
LinoPro,Dresden,08.12.2025,08.12.2025,1,Softwareentwicklerin C# (m/w/d) (08.12.2025)
MEDIFOX,Hildesheim,27.04.2026,27.04.2026,1,C# / .NET Backend Developerin (27.04.2026)
Meierhofer,Aschheim,30.07.2026,30.07.2026,1,Software Engineer Fullstack (.NET / Vue.js) mit Perspektive Software Architect (m/w/d) (30.07.2026)
Motus,Regensburg,05.05.2026,05.05.2026,1,ERP Software Support Specialist (m/w/d) (05.05.2026)
n-komm,Karlsruhe,04.02.2026,04.02.2026,1,(Junior) Softwareentwicklerin Lagerlogistik (m/w/d) (04.02.2026)
Neumeier,Regensburg,20.03.2026,20.03.2026,1,Full Stack Developer (m/w/d) (20.03.2026)
Neumueller,Regensburg,03.06.2026,06.09.2026,2,SPS-Programmiererin (m/w/d) (03.06.2026); Bewerbung als Anwendungsentwicklerin (m/w/d) in Regensburg (06.09.2026)
Nexis,Regensburg,28.01.2026,26.03.2026,2,Software Tester (m/w/d) (28.01.2026); Software Tester (m/w/d) (26.03.2026)
niwadev,Augsburg,30.10.2025,30.10.2025,1,Softwareentwicklerin C#/.NET (30.10.2025)
officepeople,Regensburg,14.05.2026,14.05.2026,1,Software Tester (m/w/d) (14.05.2026)
OPTITOOL,Regensburg,16.05.2026,31.07.2026,3,Trainee / Umschülerin im Bereich Anwendungsentwicklung (m/w/d) (16.05.2026); Web Entwicklerin / Web Developer (m/w/d) (28.05.2026); OT-D Backend Entwickler / Backend Developer - JAVA (m/w/d) in Vollzeit (31.07.2026)
PassionforPeople,Stuttgart,15.05.2026,15.05.2026,1,KI Plattform Developer / Big Data (m/w/d) (15.05.2026)
Piening,Osnabrück,05.01.2026,05.01.2026,1,Software Developer – Produktentwicklung Logistiksoftware (05.01.2026)
PostHog,Berlin,02.12.2025,02.12.2025,1,Softwareentwickler (02.12.2025)
RADAS,Berlin,16.08.2026,16.08.2026,1,Softwareentwicklerin .NET/C# – Ref. 12254-1-235037-S (16.08.2026)
Raiffeisenbank,Regensburg,08.06.2026,08.06.2026,1,"im Bereich IT, Digitalisierung, Prozessmanagement und Verwaltung (08.06.2026)"
Randstad,Regensburg,30.05.2026,30.05.2026,1,Sachbearbeiter IT (m/w/d) (30.05.2026)
RHAPSODY,Rheine,19.11.2025,19.11.2025,1,Junior Software-Entwickler .NET / C# (19.11.2025)
Rockstardevelopers,Regensburg,14.05.2026,14.05.2026,1,Webentwickler / Frontend oder Fullstack (14.05.2026)
Rodday,(noch zu recherchieren),27.04.2026,27.04.2026,1,Softwareentwicklerin C# / .NET (27.04.2026)
ROPA,Sittelsdorf,28.10.2025,28.10.2025,1,Fachinformatiker Anwendungsentwicklung (m/w/d) bei ROPA am Standort TechBase Regensburg (28.10.2025)
Scandio,Regensburg,29.05.2026,29.05.2026,1,Junior IT Consultant – Digital Transformation (m/w/d) (29.05.2026)
Schapfl,Straubing,25.04.2026,25.04.2026,1,Softwareentwicklerin (C# / .NET) (25.04.2026)
SCHÄFER,Regensburg,29.08.2026,29.08.2026,1,im Bereich IT Solutions – Standort Regensburg (29.08.2026)
SIITechnologiesGmbH,Regensburg,07.10.2025,07.10.2025,1,Software Developer C# / .NET (m/w/x) (07.10.2025)
sixaAG,Zürich,20.03.2026,20.03.2026,1,Customer Care Mitarbeiterin (Quereinsteigerin) (20.03.2026)
Skalbach,Stuttgart,15.05.2026,15.05.2026,1,Anwendungsentwickler C# (m/w/d) (15.05.2026)
SOG,Regensburg,15.05.2026,15.05.2026,1,Software Tester (m/w/d) (15.05.2026)
Sparda,Regensburg,11.06.2026,11.06.2026,1,Mitarbeiter für IT-Lösungen (w/m/d) (11.06.2026)
Sparda-Bank,Regensburg,05.05.2026,05.05.2026,1,Mitarbeiter Digitales Banking & Online-Banking Support (m/w/d) (05.05.2026)
SpardaBank,Regensburg,14.06.2026,14.06.2026,1,Mitarbeiterin für IT-Lösungen und IT-Administration (m/w/d) (14.06.2026)
StadtRegensburg,Regensburg,30.08.2026,30.08.2026,1,Sachbearbeiterin im Bereich IT-Client- Management der Schulen – Stellen-Nr. 17-07:3964 (30.08.2026)
Syskron,Wackersdorf,16.03.2026,16.03.2026,1,Agile Softwareentwicklerin (m/w/d) (16.03.2026)
SystemLogistics,Wackersdorf,25.08.2026,25.08.2026,1,Software Developer (m/w/d) (25.08.2026)
TECVIA,Regensburg,29.09.2025,28.05.2026,2,Frontend Developer (m/w/d) (29.09.2025); Frontend Developer (m/w/d) (28.05.2026)
Tecvia,Regensburg,16.05.2026,16.05.2026,1,Trainee / Fachinformatikerin für Anwendungsentwicklung (m/w/d) (16.05.2026)
Trenkwalder,Regensburg,14.06.2026,14.06.2026,1,Sachbearbeiter (m/w/d) Auftragsabwicklung (14.06.2026)
Treukontax,Regensburg,07.06.2026,07.06.2026,1,Ausbildung zur Steuerfachangestellten (m/w/d) 2026 (07.06.2026)
Vektor,Regensburg,11.08.2026,11.08.2026,1,Softwareentwicklerin C#/.NET (11.08.2026)
VerlagHerder,Freiburg im Breisgau,05.06.2026,05.06.2026,1,Data Analyst & KI (m/w/d) Growth (05.06.2026)
VESTERLING,München,24.12.2025,24.12.2025,1,Softwareentwicklerin (C# / .NET) (24.12.2025)
WattFox,Freiburg im Breisgau,27.11.2025,27.11.2025,1,C# Fullstack Developer (m/w/d) (27.11.2025)
zeitconcept,Regensburg,24.07.2026,24.07.2026,1,Fachinformatikerin (m/w/d) Power BI / Dashboards (24.07.2026)
­ experts,München,19.05.2026,19.05.2026,1,Anwendungsentwickler (m/w/d) (19.05.2026)
