status,datum,firma,ort,art,schwerpunkt,notizen,rueckmeldung,anzahl_bewerbungen,beworbene_stellen,grund
BEWORBEN,20.08.2026,TAPKO Technologies GmbH,Regensburg,Initiativbewerbung,"Automation, Software, Technik",★ Sehr interessant; auch Trainee,,1,Softwareentwicklerin / Softwaretesterin – Automatisierung & technische Software (20.08.2026),
BEWORBEN,25.08.2026,System Logistics GmbH,Wackersdorf,Bewerbung,"C#/.NET, Software, Testautomatisierung, Automation",★★★★★ Sehr passend; konkrete Junior-Stelle,,0,,
BEWORBEN,06.09.2026,Eibl-IT GmbH,Regensburg,Initiativbewerbung,"IT, Software, Support, Testing, Automatisierung",Initiativbewerbung; technische IT-Aufgaben,,0,,
NOCH NICHT,05.09.2026,Allgeier IT GmbH,Regensburg,--,".NET, Softwareentwicklung","Stelle extern noch auffindbar, aber auf offizieller Seite schwer/nicht auffindbar",,1,NET Entwickler (m/w/d) (04.06.2026),
NICHT WEITER VERFOLGEN,06.09.2026,RENG Industriesysteme GmbH,Regensburg,--,"Automatisierung, Software",Keine passende aktuelle Stelle in Regensburg; ältere Ausschreibungen nicht aktuell,,0,,Kein aktueller Bedarf
NICHT WEITER VERFOLGEN,06.09.2026,GRODE Engineering GmbH & Co. KG,Neutraubling,Bewerbung,"SPS, Automatisierung, Siemens/TIA",Bereits 2x beworben; keine Rückmeldung erhalten,,0,,Kein aktueller Bedarf
NICHT WEITER VERFOLGEN,06.09.2026,G-Automatisierung GmbH,Regensburg,--,Automatisierung,Zu kleine Firma; keine aktuelle Stellenausschreibung / kein konkreter Bedarf erkennbar,,0,,Kein aktueller Bedarf
NICHT WEITER VERFOLGEN,06.09.2026,Automatisierungstechnik Meier,Regensburg,--,Automatisierung,Keine aktuelle Stelle; Website nicht erreichbar,,0,,Kein aktueller Bedarf
NICHT WEITER VERFOLGEN,05.09.2026,Tiwo IT Solutions GmbH,Regensburg,--,"IT, Software",Keine passende aktuelle Stelle bzw. kein konkreter Bedarf erkennbar,,0,,Kein aktueller Bedarf
NICHT WEITER VERFOLGEN,05.09.2026,WAYT AG,Regensburg,--,"IT, Software, Beratung",Keine passende aktuelle Stelle für mein Profil; BPM/Camunda Erfahrung fehlt,,0,,Profil passt nicht
NICHT WEITER VERFOLGEN,05.09.2026,ANUMA,Regensburg,--,"Software, IT-Beratung",Keine passende aktuelle Stelle / keine Priorität,,0,,Keine Priorität
NICHT WEITER VERFOLGEN,05.09.2026,369 Studio,Regensburg,--,"Software, KI",Aktuell keine passende Stelle / suchen derzeit niemanden,,0,,Kein aktueller Bedarf
NICHT WEITER VERFOLGEN,26.08.2026,Matnamics Automatisierungstechnik,Regensburg,--,Automatisierungstechnik,Keine passende Stelle / keine Karriereseite; aktuell nicht sinnvoll,,0,,Kein Karriereportal
NICHT WEITER VERFOLGEN,26.08.2026,B&R Industrie-Elektronik GmbH,Regensburg,--,"Automatisierung, Software, Testing",Keine passende Stelle in Regensburg; Initiativbewerbung aktuell nicht sinnvoll,,0,,Kein aktueller Bedarf
NICHT WEITER VERFOLGEN,24.08.2026,Bechtle IT-Systemhaus,Regensburg,--,"IT, Software, Infrastruktur",Keine passende Stelle gefunden; daher nicht weiterverfolgen,,0,,Kein aktueller Bedarf
NICHT WEITER VERFOLGEN,24.08.2026,cs concept GmbH,Regensburg,--,Softwareentwicklung,Aktuell keine passende Entwicklerstelle; vorhandene Stelle passt nicht zum Profil,,0,,Profil passt nicht
NICHT WEITER VERFOLGEN,,Comsysto Reply GmbH,Regensburg,--,"Software, Cloud, AI",Aktuelle Stellen zu anspruchs- voll; derzeit nicht passend,,0,,Profil passt nicht
NICHT WEITER VERFOLGEN,,Allgeier Public SE,München,--,"C#/.NET, Software, Data, KI",Keine passende Stelle für Regensburg; keine passende Initiativmöglichkeit,,1,NET Entwickler (m/w/d) (04.06.2026),Falscher Standort
NICHT WEITER VERFOLGEN,,Sparrow Analytics GmbH,Regensburg,--,"C#/.NET, Daten, Software",Keine Karriereseite,,0,,Kein Karriereportal
NICHT WEITER VERFOLGEN,,PYLABS GmbH,Regensburg,--,"Python, Data, IoT",Keine Karriereseite,,0,,Kein Karriereportal
NICHT WEITER VERFOLGEN,,RIS Web- & Software-Development,Regensburg,--,"C#/.NET, Softwareentwicklung",Kein Karrierebereich,,1,Fachinformatikerin Anwendungsentwicklung (05.02.2026),Kein Karriereportal
NICHT WEITER VERFOLGEN,,CipSoft,Regensburg,--,Spieleentwicklung,Gaming – nicht dein Bereich,,0,,Fachlich nicht passend
NICHT WEITER VERFOLGEN,,TGW Logistics,Regensburg,--,"C#/.NET, Software, Automation","3 Bewerbungen, 3x abgelehnt nicht erneut bewerben",,0,,Bereits mehrfach abgelehnt
BEWORBEN,14.08.2026,dainox GmbH,Remote,Bewerbung,"C#/.NET, Backend, Python, API",Remote bundesweit,,0,,
